pubnub/chat-engine,codacy,2018-04-24T20:12:09Z,i think that codacy-bot doesn't like that you've only defined the var and never used it. you can do something stupid like ```syncchat.objectify()``` which returns json to resolve this. the proper solution is to create two lint configs. one for tests (where we can disable this) and one for src. where we can keep this enabled.,positive
pghalliday/grunt-mocha-test,mocha,2013-12-18T14:52:45Z,nested grunt configuration blocks do not work. when i configure grunt-mocha-test using``` javascriptmochatest: {  foo: {    options: [ … ].    src: [ … ]  }}```everything works fine. especially. i am able to run it by calling:```$ grunt mochatest:foo```if i now start to nest things. it doesn't work any more. e.g.. if i use``` javascriptmochatest: {  foo: {    bar: {      options: [ … ].      src: [ … ]    }  }}```and try to run it using```$ grunt mochatest:foo:bar```it does not work. it basically looks as if there were no tests defined. if you run grunt in `--verbose` mode you see that it only looks for `mochatest.foo`. and does not dive down into recursion.is this by design. or is this a bug? either way: how could i accomplish this?,negative
pghalliday/grunt-mocha-test,mocha,2013-12-18T16:40:18Z,no problem. thanks for closing ;),positive
Project-OSRM/osrm-backend,codecov,2017-02-02T08:54:48Z,seems like travis is on its feet again - is there anything to do with regards to the codecov results? (we merely reduced complexity. but it had a side effect on coverage),neutral
photonstorm/phaser,jshint,2014-11-19T23:46:39Z,scalemanager + dom - window constraint updates. scalemanager.windowcontraints now allows specifing 'visual' or 'layout' asthe constraint. using the 'layout' constraint should prevent a mobiledevice from trying to resize the game when zooming.including the the new changes the defaults have been changed to   windowcontraints = { right: 'layout'. bottom: '' }this changes the current scaling behavior as seen in "game scaling" (as itwill only scale for the right edge) but also prevents such scaling fromgoing wonkers in some mobile environtments like the newer android browser.(automatic scroll-to-top. albeit configurable. enabled for non-desktop bydefault is not a fun situation here.)to obtain the current semantics on a desktop the bottom should be changedto 'layout'; although this will result in different behavior depending onmobile device. to make the sizing also follow mobile zooming they shouldbe changed to 'visual'.also added temp rectangle re-used for various internal calculations.---phaser.dom now also special-cases desktops to align the layout boundscorrectly (this may disagree with css breakpoints but it aligns the withactual css width). without applying a window height/width expansion asrequired on mobile browsers.(and the jshint error isn't mine..),neutral
npm/npm,standard,2016-01-25T13:07:40Z,discuss npm install behaviour: do not install locally if available globally. i would like to discuss here this feature.if approved. i could try to implement it. it does not look so complex.if i do `npm install` and a package. for instance _standard_. is in my devdependencies. but it is available globally. it would be nice if npm skips the local installation (which takes time) since the _standard_ package is already available globally.this could be governed by a flag. something like `npm install --skip-packages-available-globally` which is too verbose by now. just to have an idea.,neutral
npm/npm,standard,2016-01-25T22:36:16Z,for the case of libraries -- node does not have a global search path. for the case of a command line tool like this. there may be a use case. but it seems too narrow to really save any time on the larger scale. since even some of those prefer to be installed locally per project.the use-case is even narrower when you take into account semver compatibility -- you might end up with a subset of subset of projects that are actually able to use this. and the optimization from having npm3's flattening already does a ton to easy this (along with our local caching).all-in-all. i can see the intent of this feature and really appreciate it. but it's very likely not something that would make it into the cli as far as my understanding of it goes. thanks for taking the time to write up the feature. as that is already appreciated <3,positive
npm/npm,standard,2016-01-26T23:53:11Z,offer a standard scripting interface for package / lifecycle scripts. this has been discussed in many places. but i'm not sure that it's been filed as a feature request now: the current cross-platform behavior requires people writing package scripts to use a very tightly-constrained subset of shell scripting syntax so that both windows and unix users can use the same scripts. this basically would involve choosing a simple subset of shell command syntax and then wrapping that around something like `shelljs`. thealphanerd had some thoughts as well.see also #1543 (add a `npm exec`). which is closely related.,negative
npm/npm,standard,2016-02-03T08:52:21Z,igorminar set angular as peer dependency of your polyfill. and let the user explicitly depend on both angular and the polyfill and require both and somehow pass at runtime the polyfill to angular.it's the standard peerdependency feature (at least now in npm3): the user is in control.,neutral
npm/npm,standard,2016-02-06T01:26:05Z,(instead of command being `shjs`. maybe `shell` is fine.),neutral
npm/npm,coveralls,2016-11-15T01:22:21Z,while it's interesting to see the current coverage of the cli code base. i'm not going to take this pull request. this is because. in my judgment. i don't believe that advertising the coverage level is currently useful or actionable for the cli's users. coverage has been at around 85% pretty much since we finished fixing up the test suite to run under travis. and that's not super great. this is even despite the fact that we have several thousand individual test cases in the test suite. and pretty extensive integration test coverage.the team insists that new changes come with tests. even if writing them is fairly complex. this process frequently needs a lot of support from the team. because npm's internal architecture is unwieldy in a way that makes writing traditional unit tests difficult – you either have to do a significant amount of redesign of the relevant cli code. or you end up having to do fairly tricksy mocking within the module cache. also. as a cli tool.  a lot of the tests are written to drive npm from the command line. which makes the test suite slow (and. because a lot of them end up doing similar things. makes it tough to safely parallelize tests. as you suggest in #14431).because writing good tests for npm requires an intimate familiarity with the cli's internals. the core team pretty much needs to be in the loop to review any sizable changes to the test suite. also. given the idiosyncrasies of the code base (which the team is working diligently to reduce over time). new tests need a certain amount of vetting to ensure that they're testing the right things. this makes improving the coverage of the test suite a slow. incremental process. and one that requires a lot of time and attention from the core contributors.as a result. the coverage number is stubbornly slow to increase. and the project isn't in a place where we can really delegate to process of improving that coverage (which is not to say that the team wouldn't _tremendously_ appreciate it if contributors took the initiative to write the missing tests – we would :heart:love:heart: this. were it to happen). as such. having a crappy coverage number at the head of the readme would be more of a discouraging reminder of how many different ways our time and attention are split right now more than any kind of encouragement. we do very much care about the direction the coverage arrow is pointing. but the actual number itself is less interesting / helpful right now.thanks for your time and attention. and please. if you are interested in helping us get the coverage number up. by all means contribute new tests! we're happy to work with you. time permitting. to understand the bits of the architecture that make it challenging to write tests. and we appreciate all help in making the code easier to test. see #14431 for more thoughts on switching test frameworks.,positive
npm/npm,coveralls,2016-11-15T01:51:01Z,> if coverage isn't a concern. then why have it at all? it's either important. or not important.it's important to the cli team. but maybe not so important or relevant to people not on the team. is what i'm saying.,negative
npm/npm,coveralls,2016-11-15T01:51:55Z,as to the rest. improving the contributors' documentation is high on my list of things to do. but so are many other things. i'll try to get to that before the end of the year. if at all possible. it's absolutely important.,positive
mishoo/UglifyJS2,uglify,2013-12-06T12:51:55Z,browserify+uglify test case proposal. if apply uglify after browserify. then often errors. for example:```(function(it/**/) {return"<div"+t.printattributes()+">"+t.printcontrols()+"</div>"})```i do not know why this happens. but the errors of various types. may be necessary to add this combination browserify+uglify in test cases?,negative
mishoo/UglifyJS2,uglify,2013-12-06T13:29:38Z,what is the error?,neutral
mishoo/UglifyJS2,uglify,2013-12-06T14:04:56Z,oops. perhaps i was mistaken....sorry. uglify was not the cause of the error.,negative
mishoo/UglifyJS2,uglify,2013-12-13T14:30:24Z,`drop_console` is not a supported option. drop_console option with --compile  doesn't work`$ uglifyjs scripts/scripts.js --compress drop_console=true``'drop_console' is not a supported optionsupported options:{ sequences: true.  properties: true.  dead_code: true.  drop_debugger: true.  unsafe: false.  unsafe_comps: false.  conditionals: true.  comparisons: true.  evaluate: true.  booleans: true.  loops: true.  unused: true.  hoist_funs: true.  hoist_vars: false.  if_return: true.  join_vars: true.  cascade: true.  side_effects: true.  pure_getters: false.  pure_funcs: null.  negate_iife: true.  screw_ie8: false.  warnings: true.  global_defs: {} }`,positive
mishoo/UglifyJS2,uglify,2013-12-13T15:22:30Z,that is up to mishoo :),neutral
mishoo/UglifyJS2,uglify,2013-12-13T15:25:49Z,hehe. ok thanks anyway. closing...,positive
mishoo/UglifyJS2,uglify,2013-12-19T01:51:42Z,futurereservedword "yield" in es5 strict mode. this code :``` javascript"use strict";var foo = {    'yield' : 1};```will be :``` javascript"use strict"var foo={yield:1}```after uglify compress.because of the 'yield' is one of `futurereservedword` in es5 strict mode. the code compressed will cause an error in some android browser like this:> uncaught syntaxerror: unexpected strict mode reserved word at xxx.js:2,negative
mishoo/UglifyJS2,uglify,2013-12-22T03:22:32Z,doesn't```uglifyjs file.js -c warnings=false -m```work?and if you're using the api:```var ast = new uglifyjs.compressor({ warnings: false });```,neutral
mishoo/UglifyJS2,uglify,2013-12-22T18:12:05Z,how old are those android browsers? (it's ie8 all over again...),neutral
mishoo/UglifyJS2,uglify,2013-12-22T18:45:30Z,it's a glitch in how our argument parsing works.  the `--mangle` flag takes optional arguments. and the file name is interpreted as an argument to `mangle` if it follows it immediately.  i admit it's not exactly nice. but that's how things are at the moment.the workaround is to pass the file(s) first. for example:```uglifyjs a.js b.js c.js --mangle --compress```,negative
mishoo/UglifyJS2,uglify,2013-12-22T18:53:37Z,mzgol stupid indeed. but as long as we claim to be ie8-compatible. the issue is valid.  use `--screw-ie8` if you don't care about it. ;-),positive
mishoo/UglifyJS2,uglify,2013-12-23T02:41:40Z,ok. let's make sure that uglify only handles "_regular_ js code" correctly.,neutral
mishoo/UglifyJS2,uglify,2013-12-23T13:26:08Z,allow configuration in a file. either a "uglify.config.js" or just inside of "package.json". let us store config options instead of having to pass them on the command line.,neutral
mishoo/UglifyJS2,uglify,2013-12-23T13:27:08Z,option (or default) to add trailing new-line to output. git (and other scm's) complain about lack of trailing new-line. i manually have to add the new-line to the end of uglify output. which sucks. can we have this as a default. or at least as an option?,neutral
mishoo/UglifyJS2,uglify,2013-12-23T13:29:43Z,i don't think you should care about newlines for minified files.,neutral
mishoo/UglifyJS2,uglify,2013-12-23T13:31:40Z,i do care about them because i include a pre-minified file in my repo. and i don't like git complaining needlessly.,negative
mishoo/UglifyJS2,uglify,2013-12-24T09:31:42Z,agree but a name like `.uglifyrc` is better i think. just like this guys:  - `.bowerrc`- `.jshintrc`- `.jsbeautifyrc`although the `package.json` file option is the best.,neutral
mishoo/UglifyJS2,uglify,2013-12-24T13:47:11Z,agreed on both points. +1,neutral
mishoo/UglifyJS2,uglify,2013-12-29T22:33:08Z,agreed with rvanvelzen. it's simple to change your `uglify ...` invocation to a `(uglify ...; echo)` invocation.,neutral
mishoo/UglifyJS2,uglify,2013-12-29T23:52:01Z,mzgol: because my program. `process.exit(+!function(a){}.length);` exits successfully before minification. but with an error code after passing through uglifyjs. all i did was program according to standards.,negative
mishoo/UglifyJS2,uglify,2013-12-30T04:06:51Z,not quite so simple when you're **not** running uglify manually from the command line. but are instead running it through automated utilities like grunt attached to a watch. etc.what's the harm in a simple feature addition like this?---for the record. i don't like that git complains about trailing new-lines. i think it's stupid to need them. but that ship sailed long ago. and it's frustrating to have an otherwise pretty useful utility like uglify thumb their nose at that precedent when it probably would take less than 30 bytes of logic to address. **and again**. it'd be an option that defaulted off so it has no danger to anyone who doesn't want it.,negative
valor-software/ng2-dragula,karma,2017-05-08T17:03:34Z,issue with karma test related to angular/cli change - need to update karma.conf.js,neutral
konvajs/konva,mocha,2015-08-24T11:15:56Z,lavrton any comments?,neutral
konvajs/konva,mocha,2015-08-24T13:42:24Z,hello. i am already trying to merge request. now i have some failed tests. so i need time to look what is going on.,negative
konvajs/konva,mocha,2015-08-28T03:12:25Z,thanks. now need to create an tutorial for site.,positive
konvajs/konva,mocha,2015-08-28T21:54:12Z,lavrton yep. i try to do it in the near future.,neutral
konvajs/konva,mocha,2015-08-28T21:54:52Z,wait for release,neutral
testem/testem,mocha,2013-09-16T13:24:30Z,thanks. this is a recent breakage. will try to sort it out asap.,positive
testem/testem,mocha,2013-09-16T14:01:15Z,please test the fix.,positive
DevExpress/testcafe,mocha,2017-07-20T17:22:55Z,> i also noticed a new typescript program is created for each file. this might not be the fastest way...we are investigating it in context of the #1591,neutral
DevExpress/testcafe,mocha,2017-08-08T15:25:31Z,i'd really like to use both jest and testcafe and typescript. and the currently problem regarding duplicate types (aka `types/jest/index.d.ts (23. 13): subsequent variable declarations must have the same type.  variable 'test' must be of type 'testfn'. but here has type 'it'`) is a show stopper.i think it would be helpful if testcafe could use a local test directory tsconfig.json that would allow specifying types.,positive
DevExpress/testcafe,mocha,2017-08-08T21:20:10Z,hotell ah. ok. i'll try your `tsc && ...` trick tomorrow. i can imagine it will work. thanks.,positive
DevExpress/testcafe,mocha,2017-08-09T13:30:42Z,mike-packetwerk  cheers mate!,positive
DevExpress/testcafe,sauce,2016-05-17T12:45:28Z,adding to the previous comment: it's reproduced only on saucelabs virtual machines with ios device emulators. it's **not** reproduced on macbook and browserstack,neutral
DevExpress/testcafe,sauce,2016-05-19T10:05:24Z,unfortunately `resize` functional tests will not work on travis+saucelabs because they are run on remote browsers (the testcafe server and browsers are run on different machines). this is actual for `take screenshot` tests too.we have to remove these tests now. but i see a possible way how we can implement ci testing for this. but it will take some time.,negative
DevExpress/testcafe,sauce,2016-05-19T16:55:03Z,discovered the following behavior on the android simulator platform:overriding a native dialog method. like in the example below. will make the native environment call the overriden method. this leads to an unexpected dialog error being raised. and tests where we check that an error wasn't raised fail.window.alert = function() {};this is only reproduced on saucelabs vm's with automated testing in the webview browser.,neutral
DevExpress/testcafe,sauce,2016-06-02T15:05:53Z,i think it makes sense to have basic saucelabs browser provider as a poc before merging this. more likely we will encounter some caveats which will affect final design.,neutral
DevExpress/testcafe,sauce,2016-06-02T16:21:11Z,thinking of it a little bit i guess we should completely get rid of `browser` entity. let's move all logic in browser to `browserproviderhost`. we will use browser connection id as browser id (just switch to short-id). and btw afair we decided to get rid of local browser connection. we need new machinery which will decide on provider-level if we need to actually close browsers or not. because e.g. saucelabs will have remote connections. but we need to gracefully close browsers for it. like we do for local,positive
oddbird/true,mocha,2017-02-03T19:56:10Z,unexpected rule type "font-face"; looking for module header. in our sass files we define the font-face using a bourbon mixin.`include font-face(...)`and then assign that font to a variable and use it where need be.using `grunt mochacli` i am getting the error in the title. i imagine true is trying to interpret `include font-face` font-face as a rule or a test? do you guys have a workaround for this?,negative
oddbird/true,mocha,2017-02-03T21:38:56Z,this is related to #74 (true doesn't like arbitrary output) and would require improvements to the parsing logic used for mocha. carljm do you want to weigh in on that? i'd love to see a pr for it. 'cause it's outside my skillset. :p the workaround right now is that you should only import sass files without output. and only use mixins inside a test.,positive
seek-oss/sku,uglify,2018-04-18T01:28:51Z,chore(config): disable comment perserving in uglifyjs. remove many preserving comments containing /*!. /**!. preserve or license that we don't need and reduce bundle size```js * react.production.min.js * * copyright (c) 2013-present. facebook. inc. * * this source code is licensed under the mit license found in the * license file in the root directory of this source tree. */```look at this mess in main.js ☝️,negative
mochajs/mocha,mocha,2013-09-08T07:00:13Z,visionmedia you said your interested in this change.if i were to do i would be tempted to have the intermediate format be tap. so you could do `mocha --tap | reporter-dot` with tap on stdout & tap on stdinobviously there would be a js api and `mocha --dot` needs to work.the only breaking change would be "how to write custom reporters" and maybe default mocha to tap.alternatively we can have a json like tap interface on stdout & stdin.if i work on this i'll probably not do all reporters at the same time but do them a bunch at the time and get the ball rolling earlier.,neutral
mochajs/mocha,mocha,2013-09-11T01:30:29Z,the problem with tap is that it encodes a fraction of the information that mocha provides and that mocha-reporters consume.  it wouldn't be that much of a stretch to envision a really nice format for structured test logs as newline delimited json.  that would be much easier to extend with all the additional information.,positive
mochajs/mocha,mocha,2013-09-11T01:32:21Z,yeah that's the thing you'd have to augment tap. making it super ugly and not very useful to tap consumers that aren't familiar with the format. i'd love the change but i don't think we should use tap. it would just end up being json-infused tap haha,positive
mochajs/mocha,mocha,2013-09-11T01:34:35Z,you could support tap by essentially doing tap + json comments.  i don't think there would be any real point though as the reporters wouldn't be tap compatible,neutral
mochajs/mocha,mocha,2013-09-11T01:39:03Z,tough call. i think the best action to take would be to allow these assertion libraries to hook into mocha. i'm not a fan of the done(callback) sort of thing,negative
mochajs/mocha,mocha,2013-09-11T01:46:10Z,plus tap isn't really all that popular. node is about it. most cis don't consume tap. so we're not losing much. they all have their own crazy-ass weird format. it's too bad we don't have test-anything-json because then you could augment it at will without making the test labels super ugly,negative
mochajs/mocha,mocha,2013-09-11T07:21:58Z,if anyone has a suggestion for the new line delimited json format i"ll use that.otherwise i'll use whatever mocha does. i'll probably get the reporters to understand tap as well since that will make them work with tape for my use case,positive
mochajs/mocha,mocha,2013-09-13T13:03:27Z,visionmedia now with |test-integration| which will not use mocha itself to verify the sanity of mocha (just for this bug at the moment),neutral
mochajs/mocha,mocha,2013-09-14T20:45:42Z,i like the walking up idea. what about conflicting files: e.g. `mocha test/acceptance test/compiler`. each dir with its own mocha.opts? perhaps this case's behavior can be undefined or first mocha.opts found.,neutral
mochajs/mocha,mocha,2013-09-14T23:07:21Z,imo this should be done with complete process isolation. you could use json-stream or the json reporter and exec(). plus then that keeps mocha lighter. win-win situation :d,neutral
mochajs/mocha,mocha,2013-09-15T00:39:44Z,bitwiseman yep.mcandre you need to call the mocha in bin.,neutral
mochajs/mocha,mocha,2013-09-15T05:08:30Z,a (minor) disadvantage of doing it with exec is that the path to the executable ends up being different depending on whether mocha is globally or locally installed. for example. i could put mocha as a dependency in package.json and always put the exec path as "./node_modules/.bin/mocha". which would end up ignoring globally-installed mocha if the user has one.the bigger disadvantage is that if i just pipe the output out to my host process. i lose the colors and formatting. if i use the json reporter for the child process as you suggest. it is not possible to re-use mocha's existing reporters on the output and i'd have to format it myself.i don't see how this change makes mocha not light. and given the above disadvantages i would like you to reconsider.,negative
mochajs/mocha,mocha,2013-09-20T14:04:06Z,exception in a reporter silently crashes mocha. if a reporter raises an exception. mocha just stops without any error message. an example reporter demonstrating the problem (needs a failing test in the suite):```module.exports = crash;var spec = require('mocha/lib/reporters/spec');function crash(runner) {    spec.call(this. runner);    runner.on('fail'. function(test. err){        throw new error();    });}crash.prototype.__proto__ = spec.prototype;```,negative
mochajs/mocha,mocha,2013-09-20T14:18:53Z,a custom reporter using async functionality is not possible. currently. a third-party reporter using asynchronous calls is not possible. see the following example (failing tests required):```module.exports = async;var spec = require('mocha/lib/reporters/spec');function async(runner) {    spec.call(this. runner);    runner.on('fail'. function(test. err){        settimeout(function() {            console.log("this should be executed. even though the hook is done");                    }. 2000);    });}async.prototype.__proto__ = spec.prototype;```why this is needed: every kind of asynchronous reporting. from fetching screenshots from selenium to posting stuff to a test results web service.,negative
mochajs/mocha,mocha,2013-09-20T14:29:59Z,apparently. this is something node doesn't do -- will investigate more.,neutral
mochajs/mocha,mocha,2013-09-20T14:58:32Z,i've changed the wiki. so this issue is done.,neutral
mochajs/mocha,mocha,2013-09-22T03:30:48Z,env var likes this typically just check for any value for them to be on. e.g. `mocha_colors=1 mocha test`. and afaik. the process global object shouldn't need to be guarded.,positive
mochajs/mocha,mocha,2013-09-27T01:09:49Z,expose only the specified ui in the browser. i'm happy to add tests for this. but it doesn't look like there are any tests for the browser build--is this the case?commit message:> when instantiated in the browser. mocha registers the "bdd-style"> interface. since an explicit call to the browser-specific `mocha.ui` is> required. the original registration is invalid. prevent that ui from> reacting to the `pre-require` event (and exposing its api).,negative
mochajs/mocha,mocha,2013-10-03T16:00:38Z,i think it would be great to have the filename in the test object.,positive
mochajs/mocha,istanbul,2017-09-05T07:19:05Z,oh. wait. we *do* use `istanbul-combine`.  my bad.,negative
casperjs/casperjs,eslint,2015-11-16T10:41:34Z,from what i can see that last travis result is an error (`couldn't resolve host 'github.com'`) as opposed to the previous eslint failure. would someone be able to kick off this run again? thanks,negative
casperjs/casperjs,eslint,2015-11-21T11:41:30Z,updated eslint. adjusted some settings (e.g. comment markers).,neutral
node-schedule/node-schedule,eslint,2015-11-01T07:51:21Z,good point about git blame / dissect. i will fix the current eslint config (it is broken- true/false should not be there. it's a 0-2 scale iirc). add strict mode. and use module.exports in a separate filesmaller diff is preferred,negative
NaturalNode/natural,jasmine,2014-10-24T15:13:04Z,external dependencies are:    "lodash" : "_".    "fs" : "_".    "log4js": "_".    "typeof": "_"plus jasmine-node for testing.files you need are:from lib:agenda.jschartparser.jscykparser.jsearleyitem.jsgrammarparser.jsleftcornerparser.jschart.jscyk_item.jsdoubledotteditem.jsearleyparser.jsgoalitem.jsheadcornerparser.jspeg-grammar-for-unification-grammar.txtand from spec:chartparser_spec.jschart_spec.jscykparser_spec.jsearleyitem_spec.jsgrammarparser_spec.jsheadcornerparser_spec.jshugo,neutral
karma-runner/karma-sauce-launcher,karma,2014-10-23T17:51:55Z,i am not actively using this tool right now so i would like to delegate the merge to someone else. i wonder about having 'team' be the default though. i think sauce defaults to setting the visibility to 'public' for open sauce accounts and 'private' for private accounts. so it may make sense to not have a default.,negative
karma-runner/karma-sauce-launcher,karma,2014-10-24T06:07:27Z,good point chriswren. i removed the default visibility and updated the pull request.,positive
wix/detox,mocha,2017-07-15T23:06:12Z,what about just for now use `xcrun simctl io booted screenshot testid.png` in the mochajs tests?,neutral
wix/detox,mocha,2017-07-31T06:45:21Z,rotemmiz i just download the detox demo . and run it with the guide. but **command failed: node_modules/.bin/mocha e2e --opts e2e/mocha.opts --configuration ios.sim.release** always happened,negative
ipfs/js-ipfs,uglify,2018-07-02T19:59:26Z,this was solved by adding the following to `uglifyoptions`:`compress: { unused: false }`,neutral
chentsulin/electron-react-boilerplate,standard,2017-11-22T14:14:07Z,app icon in development vs production. hi!i just build an app using this boilerplate and i added a custom icon in main.dev.js where is makes a new broswerwindow. but whenever i build it it says application icon not found uses standard electron icon. am i missing a place?`  mainwindow = new browserwindow({    show: false.    width: 1170.    height: 728.    icon: __dirname + '/icon.png'.    autohidemenubar: true  });`,negative
chentsulin/electron-react-boilerplate,standard,2017-12-01T08:54:43Z,hi.i integrate react-intl in my app ! maybe i can help !,neutral
chentsulin/electron-react-boilerplate,eslint,2016-07-21T23:30:21Z,no. actually the only reason of creating separate config file for eslint is that eslint doesn't use babel or any other transpiler to be able to deal with es6 stuff (import\export statements in particular).and `require('babel-register');` in `webpack.config.eslint.js` allows us to enable transpiler on the fly and require es6 modules like `./webpack.config.development`.,neutral
chentsulin/electron-react-boilerplate,eslint,2016-08-02T01:39:15Z,install eslint v3 and plugins. #320. #319 . #318 . #317. #287need fix: `import/no-extraneous-dependencies`,neutral
chentsulin/electron-react-boilerplate,eslint,2016-08-03T06:36:31Z,what do you think about turning off this specific config?,neutral
chentsulin/electron-react-boilerplate,eslint,2016-08-03T16:09:26Z,ok. already disable it. so should pass the linter now.,neutral
chentsulin/electron-react-boilerplate,eslint,2016-08-08T10:56:32Z,unify/fix .eslintrc quotation. eslint wants it's property keys doublequoted.,neutral
chentsulin/electron-react-boilerplate,eslint,2016-08-08T11:12:48Z,thanks,positive
AnalyticalGraphicsInc/cesium,eslint,2018-06-27T13:40:52Z,please merge in master. also looks like you have some eslint issues.,neutral
AnalyticalGraphicsInc/cesium,eslint,2018-06-28T21:38:00Z,fixed the eslint error,neutral
GoogleCloudPlatform/nodejs-docs-samples,jshint,2016-03-16T21:56:18Z,ty for the extra review justin/jon (3 names that start with j in the review btw) i addressed all review comments. jshint passes. i think one of the travis jobs is about to fail due to a flaky datastore test. lmk if you think i can merge anyway. trying to help techwriter get something to point to.,negative
GoogleCloudPlatform/nodejs-docs-samples,mocha,2016-06-30T05:10:38Z,switch back to mocha from ava.,neutral
GoogleCloudPlatform/nodejs-docs-samples,mocha,2016-06-30T16:26:08Z,lgtm. it's a test-only change.,neutral
xtuple/xtuple-extensions,mocha,2014-08-18T13:50:58Z,fix bi mocha test timeout,neutral
moment/moment,coveralls,2016-02-12T18:37:32Z,bump.despite #2778. coveralls is still not working.,neutral
walmartlabs/eslint-config-defaults,eslint,2016-08-22T20:07:51Z,deprecation notice. this project has been replaced by `eslint-config-walmart`. maintaining copies of other people's config is neither useful or helpful at this point.ryan-roemer kenwheeler jchip,positive
walmartlabs/eslint-config-defaults,eslint,2016-08-22T20:08:41Z,.,neutral
walmartlabs/eslint-config-defaults,eslint,2016-08-22T21:49:41Z,:+1:,neutral
react-boilerplate/react-boilerplate,karma,2016-12-25T10:35:22Z,debug karma tests in webstorm. hiis anybody was successful to debug karma tests in webstorm?i successfully run karma tests in webstorm but breakpoints do not work in usual way. i mean debug which is described in docs/general/faq.md,positive
react-boilerplate/react-boilerplate,coveralls,2016-09-22T22:41:04Z,mxstbr no problem. excited for the move to jest/enzyme!,positive
OpenZeppelin/zeppelin-solidity,eslint,2018-07-26T15:40:53Z,woot. moving towards a more consistent coding style always makes me happy. thanks justuswilhelm!could you add the relevant [eslint]( rules to the `.eslintrc` file? i think some of them are missing at the moment. like the newline at eof one.,neutral
OpenZeppelin/zeppelin-solidity,eslint,2018-07-27T02:33:46Z,nventuro i've checked and made the eslint rules a tiny bit more specific :) we should be all good now.,positive
stripe/stripe-node,eslint,2018-05-31T18:32:08Z,brandur-stripe apparently i had no idea how eslint actually worked. :joy:,positive
stripe/stripe-node,eslint,2018-05-31T22:31:38Z,> brandur-stripe apparently i had no idea how eslint actually worked. haha. you and me both!ptal jlomas-stripe,positive
bbyars/mountebank,coveralls,2016-05-08T05:52:33Z,hmm. looks like coveralls isn't picking up the error handling code as being covered. probably because it is throwing an exception. not sure how to work around that.,negative
bbyars/mountebank,coveralls,2016-05-09T00:03:09Z,don't worry about coveralls. you provided plenty of test coverage - the fact that you figured out how to add the the documentation test is impressive. coveralls is just looking at unit test coverage which isn't necessarily the most important to me.,negative
vvo/selenium-standalone,selenium,2015-04-03T23:23:20Z,after installing `xvfb` and `selenium-standalone` and run the command above. i get this error:```$ xvfb-run --server-args="-screen 0. 1366x768x24" selenium-standalone startexecvp(): no such file or directoryevents.js:72        throw er; // unhandled 'error' event              ^error: spawn enoent    at errnoexception (child_process.js:980:11)    at process.childprocess._handle.onexit (child_process.js:771:34)```looks like `selenium-standalone start` is the problem. i have already done `selenium-standalone install` successfully.,negative
vvo/selenium-standalone,selenium,2015-04-06T15:30:35Z,correct. when i run `selenium-standalone start` on my ubuntu server i get this:```$ selenium-standalone startexecvp(): no such file or directoryevents.js:72        throw er; // unhandled 'error' event              ^error: spawn enoent    at errnoexception (child_process.js:980:11)    at process.childprocess._handle.onexit (child_process.js:771:34)```,negative
vvo/selenium-standalone,selenium,2015-04-07T07:45:49Z,great answer for future reference,positive
vvo/selenium-standalone,selenium,2015-04-15T12:49:12Z,i get a similare issue when calling this code:``` jsvar selenium = require('selenium-standalone');selenium.start({spawnoptions: {stdio: 'inherit'}}. function(err. child) {     // code section never called...});```callback never called...,neutral
vvo/selenium-standalone,selenium,2015-04-16T14:28:47Z,gghez can you open a separate issue? did you `selenium-standalone install` or install via programmatic api before trying to start? let me know in a separate issue,neutral
vvo/selenium-standalone,selenium,2015-04-17T12:49:09Z,programmatic .start() does not resolve. i get an issue when calling this code:``` jsvar selenium = require('selenium-standalone');selenium.start({spawnoptions: {stdio: 'inherit'}}. function(err. child) {     // code section never called...});```callback never called... i'm currently forced to use `selenium-standalone start` command which works fine (but i then need to encapsulate in a `spawn` call :()i try this code after either calling `.install()` or executing `selenium-standalone install`.,negative
vvo/selenium-standalone,selenium,2015-04-17T21:11:54Z,my reasoning is probably a unique case.  basically. my selenium hub is a separate docker container. linked to the nodes in the form of add'l docker containers.  (so the grid itself will fail if selenium hub doesn't start appropriately.)  i've reverted that last commit and kept my changes as just the check-started.js change + unit tests... with your approval we can merge.,negative
vvo/selenium-standalone,selenium,2015-04-22T13:23:41Z,here's how i did it. if anyone is interested:``` js  before(function (done) {    selenium.install({      logger: function (message) { console.log(message); }    }. function () {      selenium.start(function (err. child) {        if (err) { throw (err); }        selenium.child = child;        client = webdriverio.remote(clientoptions)          .init()          .url(':9000'. done);      });    });  });```(this is mocha + webdriverio + selenium-standalone.),negative
vvo/selenium-standalone,selenium,2015-04-24T14:44:13Z,gghez can you create a github repo where i could easily reproduce the behavior? thanks,positive
vvo/selenium-standalone,selenium,2015-04-25T13:39:29Z,> it should not complain about it since by default we pass a noop if no logger givenit's complaining if no argument is passed. but passes if i pass it an empty object.``` jsrequire('selenium-standalone').install({});```,negative
vvo/selenium-standalone,selenium,2015-04-25T16:13:46Z,add integration example gulp + webdriverio + mocha. selenium-standalone was a missing ingredient in my workflow. so i wrote a post about integrating it with webdriverio + gulp + mocha.at first i was struggling a bit because the recommended usage seemed to be installing and running it globally. and i wanted to run it programmatically to minimize any global deps. finally. i came up this and it seems to work very well.if you don't think it's useful. feel free to close :wink:,negative
vvo/selenium-standalone,selenium,2015-04-26T08:32:24Z,this is great. thanks a lot :),positive
