ashiina/lambda-local,mocha,2016-04-09T12:34:17Z,added lambda properties. refactored. wrote mocha test,neutral
npm/npm,standard,2015-02-04T15:38:17Z,no npm command to delete/uninstall node_modules. i want a standard way i can delete node_modules directory and also invoke a script with which to delete 'public/bower_components'.'npm uninstall' just gives me the message :-npm warn uninstall not installed in c:\users\aaron\github\template-node-marionette-app\node_modules: "template-node-marionette-app"ideally this would work across *nix and windows.,negative
npm/npm,standard,2015-02-04T17:47:46Z,cheers !,positive
npm/npm,standard,2015-02-05T23:52:47Z,hi iarna. i know. that's why i've started talking about it in iojs repository. and they pointed out that the discussion should be started here first.it's nice to know that the npm3 will have a much more flatten node_modules it will save space and link.yet i think it would be more eficient to have it on a single file and there are some other reasons than the path limit like:- filesystems are chunked and a lot of script files uses much more space than a single one - eficiency;- some systems have case sensitive filesystems while in others it's not - standardization;- less fat speed interfering on system load speed;- easily compressable (yet it could be maintened uncompressed to maximize execution eficiency over space).thanks for your analisis.,positive
gr2m/moment-parseformat,standard,2015-05-26T20:07:52Z,yeah it's somewhat an edge case. `moment.parseformat` has been made with humans entering a date in a free text inputs in mind. so utc and other timestamp standard formats or not a priority. there is no right or wrong here. but i think having a leading zero is something i want to be added only when wanted explicitly.,negative
mishoo/UglifyJS2,uglify,2012-12-10T23:23:01Z,same here.i'm in a windows environement and the cli works fine. but when trying to use uglify through a node script i get this error.,negative
mishoo/UglifyJS2,uglify,2012-12-11T13:22:10Z,this is most probably a usage issue. not a bug.  however. i can't help you guys out until you tell me how you're using uglifyjs. ;-),negative
mishoo/UglifyJS2,uglify,2012-12-11T17:19:46Z,thanks for the insight. mishoo.you were spot on about the encoding_type for readfilesync.you might wanna update the readme.md file of the project with that snippet you just pasted :all the code i provided is just copy and paste from there and i was using it to try a basic testcase before going further. so that'd make sense to have this in there as a working example to build upon.,neutral
mishoo/UglifyJS2,uglify,2012-12-13T13:35:15Z,add uglifyjs.minify(string) to self (browser) build. when you build uglifyjs itself ($ uglifyjs --self) the output script will not include the minify() convenience function. this is understandable as it is not (easily) possible to read files outside of node. but i would like to have a convenience function for parsing and compressing a string of javascript in this context as well.there was talk of a minify_string() function here #17. but it got dropped in favor of the fromstring option to minify() which is no use to me since that is absent outside of node.,negative
mishoo/UglifyJS2,uglify,2012-12-17T07:51:50Z,another one i noticed:from uglify2 output: this```function (e. s) {    zovi.user.logout();    var a = s.user_name;    zovi.user.setguestuseremail(a)}```could be minified to:```function (e. s) {    zovi.user.logout();    zovi.user.setguestuseremail(s.user_name)}```any reason it cannot be done? looks like this transformation can be done regardless of the context outside this method.(again. i apologize if this is not the right place to point these out),neutral
mishoo/UglifyJS2,uglify,2012-12-27T16:03:50Z,better require. the readme file contains this :```var uglifyjs = require("uglify-js");```it doesn't work in node.js so i added a `main` into the `package.json` and also a `index.js` at the root of the project. it is now possible to require it as a node module :```var uglifyjs = require("./node_modules/uglify-js");```,neutral
mishoo/UglifyJS2,uglify,2012-12-27T16:11:23Z,`main` was already present in `package.json`; also. node's `require` is already able to locate uglify-js in `node_modules`.  i see no reason for this patch.,neutral
mishoo/UglifyJS2,uglify,2012-12-30T17:01:03Z,comments option preserved all jsdoc style comments. the comments options is preserving all jsdoc style comments. even when they don't contain `license` or `preserve`.``` jsuglifyjs.outputstream({   'comments': true});```,neutral
mishoo/UglifyJS2,uglify,2013-01-03T00:32:56Z,the docs made me think that `"comments": "all"` would preserve all comments and so setting it to `true` would auto preserve comments with `license` or `preserve`.,neutral
mishoo/UglifyJS2,uglify,2013-01-07T17:31:35Z,yes. `uglify-js2` is deprecated. use `uglify-js` instead,neutral
mishoo/UglifyJS2,uglify,2013-01-07T18:08:21Z,then i shall amend my current issue and will update the subject line accordingly:would you please ask the people at npm to de-list uglify-js2?while that is taking place. could you update uglify-js2 to be the latest codebase but somehow show an error or warning that this package is now deprecated?,positive
mishoo/UglifyJS2,uglify,2013-01-07T18:41:34Z,uglify-js2 can easilly be unpublished by mishoo the problem is there are currently libraries that still depend on it.  it shows an error that says it's deprecated when you install it.  i have opened pull requests on virtually all the libaries that still depend on the old package. so once those are updated it may make sense to un-publish `uglify-js2`.it does not make sense to keep publishing updates for it as that will just perpetuate the problem of people depending on the wrong library.,negative
Netflix/falcor,coveralls,2015-03-20T23:14:56Z,added github/travis coverage hooks. for when we have istanbul integrated. if we want to test this with the private repo. will need additional `.coveralls.yml` config. otherwise we're good to go. once we start generating the lcov report from istanbul.,neutral
Netflix/falcor,coveralls,2015-03-20T23:46:21Z,michaelbpaulson trxcllnt - merging this.,neutral
Netflix/falcor,coveralls,2015-03-27T00:06:29Z,uncommented coveralls coverage submission,neutral
Netflix/falcor,coveralls,2015-03-31T15:54:23Z,i am doing the merge though the coveralls failed.  i only moved files so i am slightly confused why this failed.,negative
testem/testem,mocha,2012-10-11T14:59:33Z,did you insert the following snippet just below your mocha.js include?```<script src="/testem.js"></script>```,neutral
testem/testem,mocha,2012-10-11T19:46:40Z,i believe mocha supports this level of granularity using the `describe.only` inside the test blocks. i think testem is not the right place for something like this to be supported; instead we should submit pr's to testing frameworks that don't have logic in place to limit tests to an exclusive set when running a suite.,negative
testem/testem,istanbul,2015-12-28T19:51:54Z,i believe i'm encountering the same thing. specifically with the scenario of trying to deliver istanbul coverage results after testem finishes running phantomjs (chrome works fine). any movement on this in terms of a solution or reliable workaround?,positive
mochajs/mocha,mocha,2012-09-10T01:56:02Z,missing 'ms' in mocha.js. i recently built my own mocha.js (for the browser) using make. i am now getting 'uncaught error: failed to require "ms"' from chrome. i noticed that 'ms' just became a new dep. was this not factored into the build for mocha.js ?,negative
mochajs/mocha,mocha,2012-09-10T02:05:57Z,correct. i think tj will refactor mocha to use components which would gracefully include this.,positive
mochajs/mocha,mocha,2012-09-10T15:36:06Z,my bad yeah i'll have to chuck it in master for now unless i get the component part done first,negative
mochajs/mocha,mocha,2012-09-11T21:07:08Z,oh. if it's global that wont really work. npm doesn't really work that way. so you should install it for that project and do ./node_modules/.bin/mocha and add `make test` or similar,neutral
mochajs/mocha,mocha,2012-09-13T18:08:08Z,yeah mocha currently assumes that if you have an issue in before hooks then subsequent things will fail. though we could limit the scope of that assumption to only those test-cases nested within the same describe(),neutral
mochajs/mocha,mocha,2012-09-14T05:45:30Z,it seems to only be a problem for mongoose model schema definitions. though.  maybe mongoose is refusing to redefine an existing model when the file is re-required?,neutral
mochajs/mocha,mocha,2012-09-14T22:53:51Z,i have  mocha.tmbundle: no such file or directory error and there is not nested folder in library/application support/textmate/bundles. any ideas?update: npm didn't include editors folder. weird... i wonder what else is missing?,negative
mochajs/mocha,mocha,2012-09-14T22:57:24Z,any ideas why i get  cp: editors/javascript mocha.tmbundle: no such file or directorymake: **\* [tm] error 1?,neutral
mochajs/mocha,mocha,2012-09-16T20:42:50Z,update bin/mocha. v8 also has an optional --harmony flag available.,positive
mochajs/mocha,mocha,2012-09-18T18:08:35Z,doesn't need to be in mocha core. there's no reason to couple it,neutral
mochajs/mocha,mocha,2012-09-20T20:10:36Z,we did just use closures in the past. but that also encouraged accidentalpollution within the closure.then we moved to only sharing via the context. which ensure that anytimethe setup is done it will be in a beforeeach. it. etc.now that we have a spec suite that just broke through 2000 tests. and have3 development teams adding specs steadily. manually clearing this contextjust isn't maintainable.we are loving mocha. by the way. as it runs through those 2k+ specs inabout 40 seconds!,positive
mochajs/mocha,mocha,2012-09-25T15:55:58Z,yeah it's not actually easy right now especially using mocha(1),neutral
mochajs/mocha,mocha,2012-09-27T02:54:11Z,assert libs shouldn't assign `actual` & `expected` props to the error object for these kinds of asserts. when they do this. it should mean that they want mocha to display a diff. which might not be suitable for all kinds of asserts.speaking of which. i guess my commit for expect.js should leave `.equal()` along. which shouldn't display a diff.,neutral
mochajs/mocha,mocha,2012-09-27T02:59:35Z,well those props aren't even specifically for mocha. they just hold the expected/actual values so you can choose to do other things with them. going mocha-specific wouldn't really be too great. ideally i guess we have alternative messages or something. bit of a tough thing abstraction-wise i guess,positive
mochajs/mocha,mocha,2012-09-27T03:53:25Z,do you think a mocha option for diff methods still stands? not sure how to access mocha options in the base reporter. if you could shed some light. i'd like to take a stab at it.,neutral
mochajs/mocha,mocha,2012-09-27T06:49:12Z,allow to skip() test  inside the function. in my tests some times test need to run only if certain conditions are met. for example previous test passed (where not skipped like load and save consequent tests). it would be great if inside test function i could do something like that:<code>if (!this.fit) this.skip() // and mocha would skip the test.</code>,positive
mochajs/mocha,mocha,2012-09-27T22:00:57Z,skip() inside of a test-case can't automagically jump out of it. just do `if (something) return done();` or if it's sync `if (something) return;`,neutral
mochajs/mocha,mocha,2012-09-28T22:22:41Z,-1 from me for a few reasons. mainly being that mocha currently loads everything all at once and this would cause a bit gap in the server / client-side implementation. secondly i can't think of anything that is unmock-able without this feature. what's an example? i'm not a huge proponent of mocking in general but this would be a large overhaul if it's mostly for convenience,negative
mochajs/mocha,mocha,2012-09-30T05:06:46Z,thanks. but just as idea:it still would be good to have such ability maybe supply skip function as third parameter:it('should skip if not fit'. function(done. skip){  if (fit) done() else (skip())}or maybe do it with done function by supplying some paramenters done({skip: true}). by the way done('some message') output is huge and like error out. i wonder why?,neutral
mochajs/mocha,mocha,2012-09-30T18:45:51Z,? there's no reason for skip functionality. just `done()` early that's all there is to it,neutral
mochajs/mocha,mocha,2012-10-03T17:20:42Z,``` jsvar runner = mocha.run();runner.on('end'. function(){});```,neutral
mochajs/mocha,mocha,2012-10-03T20:53:26Z,exposed stats via runner to allow access via "end" callback. note: made the single-line change in `lib/reporters/base.js`; however. also ran the compile step which changes multple `mocha.js` lines.,negative
mochajs/mocha,mocha,2012-10-04T05:59:06Z,`.concat['xmlhttprequest']`,neutral
mochajs/mocha,mocha,2012-10-04T09:32:52Z,add -f to specify path to mocha.opts. allows you to store your configuration file anywhere you wanted.**-f. --fileconf <path>**the --fileconf option allows you to specify the configuration file that will be used. by default “/test/mocha.opts”.,neutral
mochajs/mocha,mocha,2012-10-04T17:22:48Z,imo this is an anti-pattern. projects should be as self-contained as possible including test related stuff,neutral
mochajs/mocha,mocha,2012-10-05T13:51:23Z,add option to run mocha only in the master cluster process,neutral
mochajs/mocha,mocha,2012-10-05T14:41:16Z,in fact. we've got many test directories for each part of our project. we use the same configuration file in each test directory. it would be usefull to store this file in a unique place. so that any modifications of the file would immediatly impact all tests.,neutral
mochajs/mocha,mocha,2012-10-05T15:51:51Z,fair enough. few changes though,neutral
mochajs/mocha,mocha,2012-10-07T20:44:12Z,is there a fix for this planned at all?  browser-side async testing is pretty ugly at the moment.can't browser-side mocha use window.onerror in the same way that server-side mocha uses process.on('uncaughtexception') ?it may be ugly. but it's less ugly than the current state of things.,negative
mochajs/mocha,mocha,2012-10-07T21:04:20Z,lightsofapollo the behaviors of the handlers associated with onerror and uncaughtexception appear to be different.  on server-side. it appears to rely on the stack trace provided in the exception (see #482)what i'm looking for is to have browser-side mocha treat the exception as an assertion failure (like it does server-side). rather than as an uncaught exception (which it does browser-side).does that make sense?,neutral
mochajs/mocha,eslint,2016-12-15T17:32:44Z,i guessing that the problem is with the intellij eslint plugin. as i cannot reproduce this on the command line. i have refactored so that we no longer depend on a magic global helper file. so i will close thisthanks very much scottfreecode and dasilvacontin for looking into this. and my apologies for any invaluable effort on your part.,negative
mochajs/mocha,eslint,2016-12-28T07:47:20Z,use `semistandard` directly. this pr simplifies the lint tool dependencies by using `semistandard` directly.we don't need to keep track of each peer dep of `eslint-config-semistandard` anymore by this change.---closes #2633,neutral
mochajs/mocha,eslint,2017-01-02T22:15:47Z,this looks like a great simplification. i am wondering about the collapsing of all config into package.json though. previously there was a separate configuration for `lib/browser`. which is now gone. obviously the linting passes with the new changes. but have the rules accidentally become more lax because of that specific config removal?,negative
bcoe/sandcastle,mocha,2014-01-03T10:10:41Z,alexkwolfe thanks!!!,positive
sitespeedio/sitespeed.io,selenium,2014-11-01T12:38:44Z,ah cool. so i'm trying to get the documentation out. this weekend i can update so you can run ie from sitespeed. but you will need to start the selenium server yourself. but if you run it from jenkins that 's no problem. i will ping this when i have some documentation out.,positive
teerapap/grunt-protractor-runner,selenium,2014-08-12T18:05:41Z,for others that hit this issue: set seleniumport to be null.  if you're using an old config template as your model. this used to be 4444 by default.  setting it to null lets each instance start up on its own port.,neutral
karma-runner/karma-sauce-launcher,sauce,2013-11-01T13:05:28Z,i just experienced a run from my local machine with two sauce connected browsers (chrome-linux. firefox-linux) where one 'finished' and the other hung. i killed the process manually after about a minute (trying to preserve my sauce credits). i ran the test two more times after this and both times exited successfully on its own.,negative
felixrieseberg/ember-electron,eslint,2017-03-30T15:24:16Z,generate appropriate .eslintrc.js files in the blueprint. this is of course a very straightforward approach.we could extend this in the future to generate the appropriate rc file depending on the linter installed but given that ember cli and basically everybody else as well is moving to eslint we should be fine.,positive
wix/detox,mocha,2016-08-02T12:56:21Z,another thing. can you please try to type `mocha` in the rn-example project directory and see if mocha is in the path?,neutral
wix/detox,mocha,2016-08-02T13:13:36Z,-bash: mocha: command not found,neutral
wix/detox,mocha,2016-08-02T13:41:54Z,i pushed a small fix that will use the local mocha explicitly. so if you pull you won't need to `npm install mocha -g` anymore,neutral
AnalyticalGraphicsInc/cesium,eslint,2017-06-27T14:38:11Z,add .eslintcache to .npmignore. it shouldn't be part of our npm package.,neutral
AnalyticalGraphicsInc/cesium,eslint,2017-06-27T20:31:22Z,my ask here was to actually include the practices that are now enforced but are not covered in the current guide.  each item could be concise like the current guide and link to the eslint doc as i mentioned in one of the other prs.i know it is a bit more work and more maintenance. but the coding guide now basically has implicit rules as i don't think readers will dig at the level currently required to learn about each eslint rule.,negative
AnalyticalGraphicsInc/cesium,eslint,2017-06-29T18:17:29Z,yes. i wanted all of them. but you could also add a link to the recommonded config list.omh1280 see the big picture here: the coding guide - for the most part - covers all our best practices.  with eslint. we just added a bunch more and didn't document them.  just make it clear - however you see fit - so that a new person reading the coding guide would truly walk away with an understanding of the best practices. and not just skip over a link that contains most of them hidden in eslint.,neutral
redfin/react-server,eslint,2016-02-11T00:20:56Z,attempt at travis integration. also pulled eslint config up to the top-level and added some readme badges.,neutral
redfin/react-server,eslint,2016-02-11T00:59:51Z,success!,positive
redfin/react-server,eslint,2016-02-11T01:10:12Z,lgtm,neutral
redfin/react-server,eslint,2016-02-11T18:20:24Z,> longer term. i think it may be best to follow the `eslint`/`babel` convention of having a `.reactserverrc`yeah. that sounds cool.  also. when there's a cli. being able to point to config with a command-line option would nicer than setting an environment variable.,positive
eventbrite/javascript,eslint,2017-02-10T17:51:21Z,remove eslint globals + reenable no-unused-expressions rule. - our individual repos should add app-specific eslint globals as needed instead of everyone implicitly inheriting them- `no-unused-expressions` was turned off for chai matcher issues but should be turned off only in the repos with problems not everywhere,neutral
hilios/jQuery.countdown,karma,2013-12-29T19:50:19Z,add karma runner to automate tests in multiple browsers. by this moment the browser testing is done by a human. it's a best practice to automate this kind of test once that they minimize bug at cross environments.this feature tasks are:- [x] add karma to packages- [x] use bower to handle library packages- [x] configure grunt to use the karma runner- [x] search for support from travis server,positive
tildeio/router.js,eslint,2017-09-06T14:28:12Z,add eslinting and prettier.,positive
yui/shifter,jshint,2012-09-24T23:59:57Z,totally fair reason to refuse. node-jshint's executable does comment removal via a hacktastic regexp. but that's not something i would advocate repeating. i think we can live with documenting these sorts of things in separate files.,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-07T18:59:40Z,rtorino what was the issue here? defaults shouldn't have any references to airbnb. the default config should mirror what `eslint --init` gives you. i'd like to be able to document issues if there are any.,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T19:39:34Z,feature eslint plugin filenames. adds plugin filenames to walmartlabs best-practices and updates docs to reflect change. cc ryan-roemer,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T20:20:45Z,chaseadamsio baer -- does this work with the react configuration? i think i remember eric saying that the `_.merge()` can't handle 2+ plugins. (hence one of the reasons behind me filing #13 ...),neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T20:33:28Z,cool. i'll move on to #13 and come back to this next. :+1:,positive
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:02:18Z,#13 is a bit blocked. i did not find the exposed _merge function ryan-roemer was referring to and need to investigate more.,negative
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:14:51Z,actually. i meant don't merge in this project at all. use only eslint config options of extends to do all the work.,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:16:12Z,let's have this project actually be _eslint configs_ and not try to duplicate on our own what eslint does internally. let's just let eslint handle all merging itself.,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:18:41Z,pr coming.,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:23:56Z,alright. all set on this one.,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:31:15Z,i think #13 is all good if #23 looks okay. i tested and everything is :+1:,positive
walmartlabs/eslint-config-defaults,eslint,2015-08-17T21:49:33Z,you forgot the off.js config,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T22:11:35Z,#13 is closed and merged. i've made some changes to fit the schema baer was setting up with the `react` plugin. so this should close #17. was there anything else that should be done here ryan-roemer?,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T22:26:43Z,chaseadamsio -- lgtm!,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-17T23:09:02Z,this is so :moneybag:!,neutral
walmartlabs/eslint-config-defaults,eslint,2015-08-26T00:33:39Z,this is because the configurations are defined as `js` files. whereas eslint expects `yaml`.  baer. are the constituent configs composable using just the json/yaml syntax and `extends: ...` ?,neutral
kaola-fed/foxman,eslint,2016-12-13T11:56:44Z,feature eslint,neutral
assaf/zombie,mocha,2012-12-04T12:06:11Z,zombie browser throws exception when a status code of 401 is received. currently i cannot use zombie to check the status codes of particular urls or paths in my application. if i get a status code of 401 the zombie browser throws an exception. is there any way to suppress this behaviour with a setting? i have looked at the code and haven't found one. here is a test case: this mocha test should pass but it doesn't :  is a mocha test file so you need to run it with mocha. i have come up with a workaround for this problem but it makes it harder to write tests so it is not optimum.,negative
assaf/zombie,mocha,2012-12-06T09:37:44Z,ok so... does this mean that the recommended way to do browser tests in mocha is to do the browser navigation in the before function and then just a whole series of asserts in the it() tests? i looked back over the documentation and i didn't see that point made anywhere and there is no example test file (that i can see) so i didn't notice this as a suggestion. i think maybe it is implied but some people (like myself :p) like to have things spelled out in black and white. btw. i see your point about the 401 and looking for it. makes sense.,positive
yeoman/generator,mocha,2012-09-12T11:52:36Z,if we introduce this api. `warnon` might become obsolete. i don't know.this file menu would be tied to the file system api provided in the generators api (write. copy. template methods etc.). and would show up only when we detect that a file is about to be overwritten and that this file is not identical.we might be able to implement the differences output by checking out how it's done within mocha. it has a really nice diff feature.,negative
yeoman/generator,mocha,2012-09-16T14:49:20Z,great feedback. i definitely agree on trying to push auto-generation of tests with generators.hooks can be used to help us here. and provide us some flexibility to easily switch to another framework (like switching mocha to a jasmine setup).in every generators where generating tests make sense. `this.hookfor('test-framework');` can be used (this for now defaults internally to `mocha`. but it can be changed via the `--test-framework` cli option).- when done from a controller generator. the resolved generator is `mocha:controller`.- when done from a model generator. the resolved generator is `mocha:model`- and so on. for view. route. service etc.then. one can decide to implement each `mocha:*` generators. that generates the appropriate tests based on what kind of generators have invoked them. and probably add them to the test/index.html runner for both the specs and sources files.because. `mocha:controller` generated tests will be different when generating from an angular or a backbone generator. i'm starting to think that they should be considered mutually exclusive. and that each set of generators for a framework. will have to implement their own test-framework generators (mocha. jasmine. etc.)hope it makes sense. let me know if it doesn't =/,positive
matrix-org/matrix-react-sdk,standard,2016-08-24T12:24:45Z,add ability to query and set bot options. - also standardise on 'success' as the key name for successes.- also return the entire `content` on get state event requests.,positive
matrix-org/matrix-react-sdk,standard,2016-08-24T12:50:58Z,lgtm,neutral
mcollina/ascoltatori,mocha,2013-06-27T09:05:30Z,(if you want to carry on using the pipe. you could use $pipestatus to make sure the errors from mocha are propagated),neutral
tapio/live-server,mocha,2015-12-10T08:47:52Z,less files were just an example use case.  the real fix here is targeting what to watch. for instance. it's common to have an app or src directory that has a build step that builds to a dist or build folder. there can be files of all types in both. the goal is. you only want to reload when the build / dist directory is updated. not based on file types. there are similar patterns to this feature in webpack's loader config. you can 'exclude' patterns from being run through the loader. but you can also 'include' patterns. the include is the recommended approach in the docs because it is explicit. there is a finite and well defined list of things you want to parse opposed to an infinite list of things you want to exclude (everything else).babel has a similar option with its register hook. you can compile 'only' certain patterns or 'ignore'.  or what if mocha had you ignore every directory that did not have tests in it?  i guess what i'm getting at is that when you know exactly what you want to watch. it is easier and makes more sense to explicitly define it that  try to ignore every other possible thing.that's my whole hearted attempt at a persuading you :) whether the update makes it or not. still love the module and will probably keep using it.,neutral
nathanboktae/mocha-phantomjs,mocha,2015-02-23T18:10:51Z,any update on this?,neutral
nathanboktae/mocha-phantomjs,mocha,2015-02-26T06:36:55Z,why? why would you not just send an event to `window`? why would you make a test depdendent on being run in `mocha-phantomjs`?,neutral
paypal/nemo-view,selenium,2015-07-31T16:53:24Z,i also want to ask if i need to make a wip pr. selenium-drivex doesn't have a develop branch(any other branch than master). can you  create one or i should make a pr against master?,neutral
paypal/nemo-view,selenium,2015-07-31T17:14:04Z,regarding "style". i note that there is not a jshint task in selenium-drivex. there should be. but for now. just do your best to match the existing style. i'll file an issue on the repo to resolve the lack of jshint. also there is no extensive style guide for nemo. but that's something we can address over time. in the meantime. just do what you consider to be appropriate. if/when there is a comprehensive style guide we can go back through the modules and clean up anything that doesn't match up.regarding "defer". i personally wasn't aware of the deprecation. if that's the case then we should file issues on all the modules to replace its usage. do you have any further reference information on that which i can use as a basis?,neutral
paypal/nemo-view,selenium,2015-07-31T17:38:09Z,i'll take a look at your pr to selenium-drivex as soon as i can. it will need to be a little later on today though.,neutral
paypal/nemo-view,selenium,2015-07-31T19:17:00Z,hmm :s will discuss selenium related details there. thanks for informing :),positive
typicode/husky,standard,2016-09-01T12:47:04Z,> i know that this is not really a husky issue. that is simply how mac gui apps work. however. if we could include /usr/local/bin when husky generates the hooksi agree :). do you want to make a pr?,positive
marionettejs/backbone.marionette,jasmine,2012-09-16T16:26:41Z,you're right. i experimented with a few use cases and relying on the context can add unnecessary complications.can you edit the existing unit test and make sure it passes with `grunt jasmine`?,neutral
node-nock/nock,eslint,2017-04-21T02:52:56Z,paulmelnikow thanks so much for taking the initiative on this! i like your decision to start with a sensible baseline (`eslint:recommended`). please do open a pr and i will take a look at it within the next few days. skimmed through the code just now and it looks solid. happy to help you fix the test once we have the pr up. so we can verify changes with ci.,positive
cucumber/cucumber-js,mocha,2016-08-05T19:51:05Z,sounds like a good idea. any chance you would like to help implement this?,neutral
cucumber/cucumber-js,jshint,2014-09-16T13:42:03Z,i'm closing this. it would be probably better to piecemeal this anyways. and if i submit the jshintrc. i think i'd do it on a separate pr.,neutral
cucumber/cucumber-js,jshint,2014-09-16T13:48:45Z,jshintrc added. - js hintrc added- indent is 2,neutral
cucumber/cucumber-js,jshint,2014-09-16T13:53:58Z,the-simian to better enforce styles we should integrate this with the test suite. so that it is impossible for someone to add invalid code to the repo since the tests will fail.thanks for the work the-simian :),neutral
cucumber/cucumber-js,jshint,2014-09-16T13:55:49Z,that's a great idea.,positive
cucumber/cucumber-js,jshint,2014-09-16T14:26:43Z,:dancer:,neutral
cucumber/cucumber-js,jshint,2014-09-16T14:45:00Z,thanks. this should have been done a long time ago!at cucumber-ltd. we also include hinting in the build (before running the tests) and also as a pre-commit hook on our machines. that way you can't even push code that fails hinting (a shame we can't enforce that on oss! :smile:),negative
cloudchen/grunt-template-jasmine-requirejs,jasmine,2013-08-13T09:36:25Z,had the same error. atm both paths need to match exactly.+1,negative
appium/appium,selenium,2013-12-19T06:14:13Z,ios:how to automate drawing boundaries like line.rectangle.polygon in iphone using mapview control ?. # ios:-we have a functionality where we need to draw boundaries  like line.rectangle.polygon in mapview through appium in selenium c#.issue is even though developers gave accessibility label for mapview control the id is not getting reflected in appium but for other controls like (textbox.checkbox) id's are displaying .can you give me suggestion how i can get the id for mapview control or is there any other way i can automate the functionality?.,positive
appium/appium,selenium,2013-12-19T16:27:19Z,those capabilities are for running selenium web tests; they're not applicable for appium.in the future. we'll have something like appium::capabilities.android. but for now. you'll need to not use the pre-built capability objects.,neutral
appium/appium,selenium,2013-12-24T15:23:24Z,i think this should be implemented as a mobile :getcrashes method. this will allow the clients to ask for crashes before ending the session. the response to :getcrashes could be a base64 encoded zip of all crashes during that session.maybe there's a better way that fits within the existing selenium api.,neutral
appium/appium,selenium,2013-12-28T03:56:09Z,apple hasn't announced a fix.,neutral
appium/appium,selenium,2014-01-08T22:53:47Z,i'm not sure how this got labeled as an enhancement. but this is a regression - appium used to register and maintain sessions with selenium grids without issues.,negative
appium/appium,sauce,2013-10-30T15:52:37Z,can someone from sauce grab the account and i'll set up the build,neutral
appium/appium,sauce,2013-11-10T08:20:42Z,eduardocerqueira that is expected behaviour when using the safari launcher. instruments is not connected to safari and usually dies during the test. the only connecting we have is the remote debugger (for webviews) which doesn't have the ability to close the browser/tab (not that i know of). so i don't expect calls to close an alert to work either.the default url is set in the safari launcher app. we have to navigate to a url to launch safari. we can change to something that takes less to load (e.g. google). or maybe a locally hosted page like the saucelabs guinea pig page?,negative
appium/appium,jshint,2013-11-16T21:10:45Z,> warning: task "jshint:files" failed. use --force to continue.,neutral
agda/agda-stdlib,standard,2017-07-24T22:09:27Z,apologies for the very late reply. the standard library tries to use only the core features of agda. and therefore there are no current plans to incorporate instance arguments at the moment. declaring them locally seems the best bet.,positive
agda/agda-stdlib,standard,2017-07-25T00:24:18Z,the main reason would be to clearly label which parts of the standard library can be used as-is in hott. which is the main side-effect of highlighting those bits which do not depend on k.note that most of the pieces of the standard library that i have used (which is only part!) would go through without any changes.  understanding what fails might be quite instructive too.,neutral
agda/agda-stdlib,standard,2017-07-25T10:16:30Z,it sounds reasonable. but (from a completely non-theoretical perspective!) i'm a little wary of opening the gates to including pragmas at the top of every file. if you include the pragma. does it check subsequent imported files as well? if it does. would it be possible to find the parts of the standard library that use the k-axiom by simply adding it at the top of the `everything.agda` file?andreasabel do you have any thoughts on this?,neutral
agda/agda-stdlib,standard,2017-07-25T10:29:16Z,looks like this is solved.,neutral
agda/agda-stdlib,standard,2017-07-25T14:43:12Z,currently. if we put `--without-k` at the beginning of a file. it does not prevent import of modules that use k.  thus. at the current stage. such an information might be not very helpful and could even be misleading (e.g. if that suggests to you you can use this module of the standard-library in a k-free type theory).thus. before we move on here. we should be clear what the aims of putting --without-k into the standard library should be.,neutral
agda/agda-stdlib,standard,2017-07-25T17:39:15Z,andreasabel : agreed on waiting.i think the aim is clear: to be able to safely re-use as much of the standard library in a hott / raw mltt setting as possible.  i have had to duplicate parts of the library. just to make sure it was k-free.  it was a trivial exercise (as it was indeed largely k-free). but tedious.,negative
agda/agda-stdlib,standard,2017-07-31T12:19:09Z,zhyltsovd thank you for the proposal. and apologies for taking _quite_ so long to get back to you.this has the potential to be valuable addition to the standard library but as it stands there are a few issues:- there already exists a formalisation for injective functions in the standard library in `function.injective` so your code would need to use the existing `injective` definition. obviously this will involve altering your implementation.- your `thick` and `thin` functions now exist in the standard library under the names `punchin` and `punchout`.let me know if you'd like to proceed or not. no worries if not. i understand. after all this time. you may have moved on!,positive
